objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
42,12131,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126319923,5.64412,7.01125,2.2381,7588,206,thing,42,4,4,30,30,30,1885,4,4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
5 Towers,400205,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115343735,6.1515,6.71214,1.25,2401,5864,thing,5 Towers,2,5,30,30,15,2023,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
5x5 City,264638,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85107248,5.58278,6.98147,1.5556,10289,165,thing,5x5 City,1,4,30,30,30,2018,"1,2,3,4",2,8+,,,,,,,standalone,,,,,,,,,,,,,,,
5x5 Zoo,307722,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85107253,5.52848,6.96364,2,16815,95,thing,5x5 Zoo,1,4,45,45,45,2020,,,,,,,,,,standalone,,,,,,,,,,,,,,,
6 Castles,274548,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,93876731,5.57701,6.67212,3,10655,504,thing,6 Castles,2,4,45,45,45,2019,"1,2,3,4","2,3",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
6 Forces,430995,0,1,0,1,0,0,1,0,1,0,0,3,,,,,,131173959,5.53038,7.28125,1,16363,75,thing,6 Forces,3,4,40,40,40,2024,3,3,,,,,,,,standalone,,,,,,,,,,,,,,,
6 nimmt! 25 Jahre,268586,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81644378,6.46993,7.25679,1.2388,1382,7064,thing,6 nimmt! 25 Jahre,2,10,45,45,45,2019,"3,4,5,6,7,8","4,5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
6 nimmt! Brettspiel,286533,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126316809,5.60815,6.54532,1.25,8898,772,thing,6 nimmt! Brettspiel,2,6,25,25,25,2019,"2,3,4,5,6","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
6 Suspects,397252,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126316816,5.52901,6.29484,1.3333,16691,284,thing,6 Suspects,2,8,20,20,10,2024,"2,3,4",2,All ages,,,,,,,standalone,,,,,,,,,,,,,,,
"7 Symbols, and 7 Nations",172012,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,133671305,5.53843,7.06018,2,14770,40,thing,"7 Symbols, and 7 Nations",3,4,20,20,20,2015,3,3,,,,,,,,standalone,,,,,,,,,,,,,,,
7 Wonders,68448,7,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596496,7.55127,7.66426,2.3148,115,154581,thing,7 Wonders,2,7,30,30,30,2010,"3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
7 Wonders Duel,173346,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,74117992,7.95361,8.07919,2.2266,24,181843,thing,7 Wonders Duel,2,2,30,30,30,2015,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
7 Wonders Duel: Pantheon,202976,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,74562532,7.62495,7.99585,2.3131,0,50693,thing,7 Wonders Duel: Pantheon,2,2,30,30,30,2016,2,2,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Armada,247315,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596503,6.81304,7.96781,2.7419,0,10684,thing,7 Wonders: Armada,3,7,40,40,40,2018,"3,4,5,6,7",5,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Babel,154638,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596514,6.33946,6.84774,2.6525,0,15181,thing,7 Wonders: Babel,2,7,45,45,45,2014,"3,4,5,6,7",5,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Cities,111661,8,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596525,7.35567,7.79811,2.3439,0,31854,thing,7 Wonders: Cities,2,8,40,40,40,2012,"3,4,5,6,7,8","4,5",10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Leaders,92539,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596534,7.46455,7.81422,2.2742,0,37240,thing,7 Wonders: Leaders,2,7,40,40,40,2011,"3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Wonder Pack,133993,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596522,6.95368,7.5868,2.2563,0,18208,thing,7 Wonders: Wonder Pack,2,7,30,30,30,2013,"3,4,5,6,7",4,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
72 (?�な?��??�に) (72 Demons of Goetia),265674,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,133971885,0,7,2,0,9,thing,72 (?�な?��??�に) (72 Demons of Goetia),2,4,5,5,5,2018,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
9 Lives,189190,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92471989,6.00866,7.06949,1.4762,3094,2647,thing,9 Lives,3,4,30,30,20,2015,"3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
"9upper ?�掰??,383053""",0,1,0,1,0,0,0,0,0,0,0,3,,,,,,136903771,5.57483,6.81912,1.3333,10826,210,thing,"9upper ?�掰??,3""",9,19,19,9,2021,"5,6,7,8,9","6,7",,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,,,
Aber Hallo!,1385,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,140273674,5.5118,5.96964,1.8333,21759,93,thing,Aber Hallo!,3,4,0,0,0,2000,,3,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Abomination: The Heir of Frankenstein,239472,0,0,0,0,0,0,0,1,0,0,0,3,,,,,,78161690,6.67542,7.44525,3.245,954,7770,thing,Abomination: The Heir of Frankenstein,2,4,180,180,90,2019,"2,3,4",3,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
The Academy,394890,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,131568996,5.52695,6.29556,2,17177,252,thing,The Academy,3,4,30,30,30,2023,"3,4",4,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Acquire,5,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,73688590,7.12893,7.35617,2.4903,361,29861,thing,Acquire,2,6,90,90,90,1963,"3,4,5,6",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Adventure of Warado,212756,8,0,0,0,0,0,0,0,0,0,0,3,,,,,,120876663,0,6.82222,2,0,27,thing,Adventure of Warado,2,5,60,60,30,2016,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Adventure Trek,430439,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,125933974,0,5,0,0,9,thing,Adventure Trek,2,5,120,120,45,2024,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Afritoria,373054,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,138490971,0,8,1,0,21,thing,Afritoria,2,4,20,20,10,0,,,,,,,,,,standalone,,,,,,,,,,,,,,,
After the Empire,200511,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94628523,6.35887,7.42676,3.1127,1672,3621,thing,After the Empire,2,4,120,120,60,2021,"1,2,3,4","2,3",14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
After Us,369548,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115343656,6.20512,6.7774,2.0444,2195,3874,thing,After Us,1,6,60,60,40,2023,"2,3,4,5",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Afternova,279900,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126581792,5.68144,6.85212,1.7143,6650,1126,thing,Afternova,3,6,60,60,30,2020,"3,4,5,6","4,5",8??2,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
AGAPE: A game about Love,418189,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,137425741,0,5.84,1,0,32,thing,AGAPE: A game about Love,1,5,12,12,10,2024,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Age of Civilization,264647,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126553670,6.34,7.02432,2.3,1731,6319,thing,Age of Civilization,1,4,60,60,30,2019,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Age of Galaxy,330950,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126288429,6.34636,7.55016,3.1176,1705,4644,thing,Age of Galaxy,1,4,60,60,45,2022,"1,2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Age of Innovation,383179,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115344491,7.75184,8.46847,4.2667,56,10882,thing,Age of Innovation,1,5,200,200,40,2023,"1,2,3,4,5",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Age of Inventors,369104,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115343269,5.5516,6.72999,2.8889,12897,517,thing,Age of Inventors,1,4,80,80,40,2024,"2,3","2,3",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Age of Rail: South Africa,97683,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,136223912,5.91323,7.6657,3.0455,3718,1323,thing,Age of Rail: South Africa,3,6,60,60,40,2011,"3,4,5,6","4,5",14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Age of Steam,4098,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77244153,7.49008,7.86905,3.8567,141,14031,thing,Age of Steam,1,6,120,120,120,2002,"3,4,5,6",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Age of Steam Deluxe Expansion: Detroit Bankruptcy & Heavy Cardboard Maps,303949,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,80997171,5.57299,8.10156,4,0,541,thing,Age of Steam Deluxe Expansion: Detroit Bankruptcy & Heavy Cardboard Maps,1,6,180,180,120,2020,"3,4,5","4,5",,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Agency,430857,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,128136646,5.53013,6.92265,2,16429,192,thing,Agency,4,4,40,40,20,2024,4,4,12,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Agricola,31260,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,72633862,7.727,7.85896,3.6351,64,89805,thing,Agricola,1,5,150,150,30,2007,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Agricola: Farmers of the Moor,43018,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72633868,7.3027,8.04637,3.5601,0,15450,thing,Agricola: Farmers of the Moor,1,5,200,200,100,2009,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Agricola: Through the Seasons,38641,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,72633858,5.94261,7.11125,3.1029,0,3037,thing,Agricola: Through the Seasons,1,5,120,120,120,2008,"1,2,3,4,5","3,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
?gueda: City of Umbrellas,317515,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126682409,5.7271,6.89671,1.6667,5741,1238,thing,?gueda: City of Umbrellas,1,5,40,40,20,2024,"2,3,4,5","2,3,4",,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Ahoy! Kitten,367344,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115344263,5.58251,6.89052,1,10309,354,thing,Ahoy! Kitten,2,6,20,20,15,2023,"3,4,5,6",4,,,,,,,,standalone,,,,,,,,,,,,,,,
AI Space Puzzle,383064,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,125934073,5.78652,7.08903,2.0714,4909,1184,thing,AI Space Puzzle,2,5,30,30,30,2023,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
?iyé,322626,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115344431,5.63062,7.03711,2.375,7994,344,thing,?iyé,2,4,60,60,30,2023,"2,3,4","2,3",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Akropolis,357563,8,2,0,1,0,0,0,0,0,0,0,3,,,,,,96802840,7.04091,7.44626,1.7978,449,14368,thing,Akropolis,1,4,30,30,20,2022,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Al Casino 6 Black Hearts,360329,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,126319647,0,6.33333,0,0,16,thing,Al Casino 6 Black Hearts,3,6,30,30,15,2018,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Alchemists,161970,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72837683,7.39752,7.63781,3.9216,174,33297,thing,Alchemists,2,4,120,120,120,2014,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Alchemists: The King's Golem,204650,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94386011,6.56727,8.36726,4.5455,0,7580,thing,Alchemists: The King's Golem,2,4,120,120,120,2016,"2,3,4",3,14+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
"Algae, Inc.",403683,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,127188400,5.85786,7.90876,4.2222,4178,1130,thing,"Algae, Inc.",1,4,120,120,90,2024,"1,2,3,4","1,2",14,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Alice's Garden,298635,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315847,6.11508,7.11421,1.4211,2565,3517,thing,Alice's Garden,1,4,45,45,30,2020,"1,2,3,4","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
All Aboard!,402674,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,139053730,5.61825,7.1324,1.6667,8445,730,thing,All Aboard!,2,5,20,20,20,2025,"3,4,5","4,5",5+,,,,,,,standalone,,,,,,,,,,,,,,,
All In: A Flip&Write Showdown,375567,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,115344317,5.52639,6.33563,2.5,17322,85,thing,All In: A Flip&Write Showdown,1,4,30,30,20,2023,"1,2,3,4","1,3,4",,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Alma Mater,299960,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,75597789,6.53941,7.26894,3.7424,1220,7525,thing,Alma Mater,2,4,150,150,90,2020,"2,3,4",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Alma Mater: New Students,313011,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80307117,5.59823,7.52479,3.6667,0,671,thing,Alma Mater: New Students,2,4,150,150,90,2020,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Amalfi: Renaissance,351594,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115343809,6.25555,7.67514,3.3051,1991,1977,thing,Amalfi: Renaissance,1,4,120,120,60,2023,"1,2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Amazing Ocean-Food Chain,378502,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,136389612,0,6,0,0,2,thing,Amazing Ocean-Food Chain,2,4,20,20,15,2018,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Amazonas,342550,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,128444675,5.5495,7.04516,2,13150,215,thing,Amazonas,2,5,35,35,25,2022,"2,3,4,5",5,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
American Bookshop,292811,0,2,0,1,0,0,1,1,1,0,0,3,,,,,,106035176,5.86406,7.15398,1.4,4128,975,thing,American Bookshop,3,5,50,50,30,2019,"3,4,5",4,,,,,,,,standalone,,,,,,,,,,,,,,,
Amerigo,137408,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,73223102,6.91343,7.43348,2.9719,599,7971,thing,Amerigo,2,4,90,90,90,2013,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Amun-Re,5404,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,74308068,6.91749,7.28258,3.0305,596,10805,thing,Amun-Re,3,5,90,90,90,2003,"4,5",5,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Amygdala,360879,2,0,0,0,0,0,0,0,0,0,0,3,,"?�歡?��?：�??��??�候蠻?��???
不�?歡�?點�?一點都沒�??�拼?��?覺、無?��??��??�太?�自?��??��??��?什麼糾結�?互�???,"","","",96865855""",5.62232,6.67353,2.9091,8292,700,thing,Amygdala,2,4,90,90,60,2023,"2,3,4","2,3",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,,,,,
Amygdala,360879,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115343143,5.62232,6.67353,2.9091,8292,700,thing,Amygdala,2,4,90,90,60,2023,"2,3,4","2,3",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Anansi,317983,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126211332,5.77093,6.69869,1.7143,5102,1576,thing,Anansi,3,5,35,35,25,2016,"4,5",4,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Anaphylaxis,445502,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,132430472,5.51834,6.99,1,19609,76,thing,Anaphylaxis,3,4,20,20,15,2025,4,4,,,,,,,,standalone,,,,,,,,,,,,,,,
Ancient Knowledge,338093,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115343637,6.45892,7.13556,2.7222,1409,5204,thing,Ancient Knowledge,2,4,75,75,75,2023,"2,3",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Angelian,445501,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,132877657,0,6.5,0,0,19,thing,Angelian,3,4,45,45,15,2025,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Angels and Devils,385756,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115344371,5.54689,7.07095,1.5,13490,194,thing,Angels and Devils,3,4,45,45,30,2023,4,4,,,,,,,,standalone,,,,,,,,,,,,,,,
Animal Kingdoms,256513,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,98946813,5.90753,7.01875,1.8182,3761,1891,thing,Animal Kingdoms,1,5,45,45,45,2020,"1,2,3,4,5",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Animale Tattica,243191,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,135616113,5.51887,6.42826,0,19449,82,thing,Animale Tattica,2,4,30,30,10,2017,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Animals Friend,274176,6.5,0,0,1,0,0,0,0,0,0,0,3,,,,,,72608611,0,6.18889,0,0,9,thing,Animals Friend,3,6,30,30,10,2019,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Animals Gathering,370418,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,115343450,5.57291,6.81197,1.6,10978,323,thing,Animals Gathering,2,5,40,40,20,2023,"2,3,4,5",2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Animanize,354411,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,131548952,0,6.10526,1,0,46,thing,Animanize,3,4,45,45,30,2022,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Animism,346424,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,132539677,0,7.33333,0,0,32,thing,Animism,3,4,30,30,15,2021,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Ankh: Gods of Egypt,285967,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85758546,7.27452,7.73387,3.1293,250,19349,thing,Ankh: Gods of Egypt,2,5,90,90,90,2021,"2,3,4,5","2,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
